City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
412,Purna,IN,19.1833,77.05,74.32,93,100,11.25,moderate rain
413,Severnyy,RU,50.677,36.5532,59.04,88,0,8.95,clear sky
414,Axim,GH,4.8699,-2.2405,75.76,74,100,7.63,overcast clouds
415,Mildura,AU,-34.2,142.15,53.08,77,100,7.67,light rain
416,Ulladulla,AU,-35.35,150.4667,51.12,90,84,5.91,broken clouds
417,Yulara,AU,-25.2406,130.9889,56.21,39,6,9.37,clear sky
418,Puerto Carreno,CO,6.189,-67.4859,87.48,61,49,7.25,scattered clouds
419,Biak,ID,-0.9131,122.8766,75.52,88,59,7.16,broken clouds
420,Mugur-Aksy,RU,50.35,90.5,50.04,80,100,8.25,overcast clouds
421,Rocha,UY,-34.4833,-54.3333,63.28,75,42,3.89,scattered clouds
422,Kinablangan,PH,7.6947,126.5503,78.48,84,91,3.91,overcast clouds
423,Almaznyy,RU,48.0448,40.045,60.57,82,93,3.87,light rain
424,Yantal,RU,56.8471,105.2542,58.69,95,100,2.86,overcast clouds
425,Bathsheba,BB,13.2167,-59.5167,86.61,78,20,17.27,few clouds
426,Odienne,CI,9.51,-7.5692,73.06,91,75,3.53,light rain
427,Ambilobe,MG,-13.2,49.05,65.57,77,0,4.79,clear sky
428,Tabuk,PH,17.4189,121.4443,75.09,92,4,3.27,clear sky
429,Meulaboh,ID,4.1363,96.1285,76.44,87,100,5.01,moderate rain
430,Chau Doc,VN,10.7,105.1167,75.9,90,99,5.08,overcast clouds
431,Oliver,CA,49.1831,-119.5524,86.25,25,1,5.73,clear sky
432,Saint-Augustin,CA,51.226,-58.6502,65.48,67,100,17.65,overcast clouds
433,Northam,GB,51.0333,-4.2167,65.39,77,0,12.1,clear sky
434,Ahipara,NZ,-35.1667,173.1667,47.37,86,99,6.91,overcast clouds
435,Rundu,NA,-17.9333,19.7667,63.61,42,16,7.0,few clouds
436,Peterhead,GB,57.5058,-1.7981,57.51,72,100,5.7,overcast clouds
437,Kostomuksha,RU,64.571,30.5767,64.8,82,27,5.68,scattered clouds
438,Izberbash,RU,42.5696,47.8645,75.25,72,0,5.82,clear sky
439,Luanda,AO,-8.8368,13.2343,69.8,88,20,5.75,few clouds
440,Xapuri,BR,-10.6517,-68.5044,96.44,25,45,3.27,scattered clouds
441,Krasnoselkup,RU,65.7,82.4667,52.97,92,100,12.66,overcast clouds
442,Xining,CN,36.6167,101.7667,52.07,67,0,1.95,clear sky
443,Rakitnoye,RU,50.8389,35.8515,57.58,95,11,9.93,few clouds
444,Fukue,JP,32.6881,128.8419,77.94,75,50,6.02,scattered clouds
445,Nara,JP,34.6851,135.8049,76.5,65,89,2.55,overcast clouds
446,Pokhara,NP,28.2333,83.9833,73.36,87,100,1.54,overcast clouds
447,Colares,PT,38.7992,-9.4469,77.45,66,20,14.97,few clouds
448,Iconha,BR,-20.7931,-40.8111,77.52,63,19,9.55,few clouds
449,Rio Grande,BR,-32.035,-52.0986,69.91,96,100,2.62,overcast clouds
450,Karratha,AU,-20.7377,116.8463,69.6,66,0,10.38,clear sky
451,Lata,PT,40.1629,-8.3327,75.31,48,12,5.86,few clouds
452,Marsa Matruh,EG,31.3525,27.2453,78.58,75,0,10.65,clear sky
453,Mehamn,NO,71.0357,27.8492,53.51,92,29,19.84,scattered clouds
454,Ushumun,RU,52.7833,126.5333,59.25,79,5,4.68,clear sky
455,Walvis Bay,NA,-22.9575,14.5053,65.35,55,0,3.44,clear sky
456,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,6.91,overcast clouds
457,Nishihara,JP,26.1842,127.7558,84.25,86,75,11.5,light intensity drizzle
458,Palmer,US,42.1584,-72.3287,94.21,37,20,12.66,few clouds
459,Andenes,NO,69.3143,16.1194,52.93,93,75,18.41,drizzle
460,Carepa,CO,7.7585,-76.6525,84.81,77,80,3.27,broken clouds
461,Sembe,CG,1.6481,14.5806,70.47,98,100,2.17,moderate rain
462,Abu Dhabi,AE,24.4667,54.3667,100.51,62,0,6.91,clear sky
463,Xicotencatl,MX,23.0167,-98.8833,98.47,33,13,10.09,few clouds
464,Billings,US,45.7833,-108.5007,96.3,12,20,4.61,few clouds
465,Pereira Barreto,BR,-20.6383,-51.1092,88.36,22,2,5.97,clear sky
466,Seymchan,RU,62.8833,152.4333,56.73,63,6,1.25,clear sky
467,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.6,89,40,5.75,scattered clouds
468,Lodja,CD,-3.4833,23.4333,79.97,39,100,1.95,overcast clouds
469,Sao Domingos,BR,-13.3983,-46.3183,86.25,24,0,5.14,clear sky
470,Arlit,NE,18.7369,7.3853,103.42,12,46,6.38,scattered clouds
471,Staritsa,RU,56.5075,34.9354,61.74,79,2,1.66,clear sky
472,Evans,US,33.5337,-82.1307,89.26,28,75,8.05,broken clouds
473,Sabang,ID,5.8933,95.3214,80.33,77,100,3.38,overcast clouds
474,Santa Cruz Del Sur,CU,20.7147,-77.9956,87.84,64,45,6.46,scattered clouds
475,Lubango,AO,-14.9172,13.4925,61.3,29,0,4.16,clear sky
476,Marsh Harbour,BS,26.5412,-77.0636,84.15,71,0,15.73,clear sky
477,Harboore,DK,56.6175,8.1807,58.17,94,100,11.68,overcast clouds
478,Morros,BR,-9.4467,-46.3003,91.2,20,6,6.62,clear sky
479,Reyes,BO,-14.3167,-67.3833,87.96,58,40,13.8,scattered clouds
480,Salamanca,ES,40.8333,-6.0,91.62,12,36,7.36,scattered clouds
481,Tigil,RU,57.8,158.6667,53.29,67,0,2.37,clear sky
482,Kemijarvi,FI,66.7131,27.4306,62.2,68,100,5.68,overcast clouds
483,Daru,PG,-9.0763,143.2092,75.72,92,30,10.18,scattered clouds
484,Half Moon Bay,US,37.4636,-122.4286,83.88,66,20,13.8,mist
485,Ranchpar,AM,40.0275,44.367,79.09,31,0,14.97,clear sky
486,Bako,ET,5.7833,36.5667,67.44,57,72,6.44,broken clouds
487,San Policarpo,PH,12.1791,125.5072,80.56,81,100,1.21,overcast clouds
488,Muros,ES,42.7762,-9.0603,72.68,65,0,13.82,clear sky
489,Maneadero,MX,31.7167,-116.5667,78.15,54,78,8.12,broken clouds
490,Gorakhpur,IN,29.45,75.6833,86.38,68,89,6.33,overcast clouds
491,Vicksburg,US,32.3526,-90.8779,91.63,72,40,13.8,scattered clouds
492,Yatou,CN,37.15,122.3833,72.03,88,100,2.33,light rain
493,Sabha,LY,27.0377,14.4283,85.6,20,0,7.63,clear sky
494,Leninskoye,KZ,41.7589,69.3864,85.66,16,0,11.52,clear sky
495,Sandakan,MY,5.8402,118.1179,78.48,89,20,2.3,few clouds
496,Chake Chake,TZ,-5.2459,39.7666,72.63,81,2,9.89,clear sky
497,Labuhan,ID,-6.8844,112.2051,75.29,84,55,7.67,broken clouds
498,Ondjiva,AO,-17.0667,15.7333,64.11,28,0,7.38,clear sky
499,Cascais,PT,38.6979,-9.4215,77.61,67,20,14.97,few clouds
500,Jaen,ES,38.0,-3.5,97.25,10,0,9.53,clear sky
501,Lasa,IT,46.6166,10.7002,77.88,83,59,3.8,broken clouds
502,Tucumcari,US,35.1717,-103.725,97.95,26,0,6.91,clear sky
503,Darhan,MN,49.4867,105.9228,55.36,91,100,5.59,overcast clouds
504,Sri Aman,MY,1.2376,111.4621,73.45,100,87,0.0,overcast clouds
505,Ketchikan,US,55.3422,-131.6461,63.07,72,75,8.05,broken clouds
506,Zaterechnyy,RU,44.7931,45.2097,75.45,47,100,15.77,overcast clouds
507,Badarwas,IN,24.9667,77.5667,76.14,93,100,10.13,overcast clouds
508,Sukhobezvodnoye,RU,57.0491,44.8891,62.74,77,97,3.09,overcast clouds
509,Le Port,RE,-20.9373,55.2919,69.26,72,4,3.02,clear sky
510,Miri,MY,4.4148,114.0089,75.34,94,40,2.3,scattered clouds
511,Broome,US,42.2506,-75.833,86.38,45,20,6.91,few clouds
512,Sangar,RU,63.9242,127.4739,57.61,93,71,3.62,broken clouds
513,Tailai,CN,46.3833,123.4,68.56,89,31,3.09,light rain
514,Karasjok,NO,69.4719,25.5112,55.51,82,25,7.92,scattered clouds
515,Dyersburg,US,36.0345,-89.3856,97.29,52,0,4.61,clear sky
516,Luena,AO,-11.7833,19.9167,65.8,38,76,3.85,broken clouds
517,Aguimes,ES,27.9054,-15.4461,72.23,78,20,31.07,few clouds
518,Santa Lucia,ES,27.9117,-15.5407,67.32,78,20,31.07,few clouds
